participant,target,qc_cohort,source_run,balanced_accuracy_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,modality,classifier,feature_count_request,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,most_frequent_hyperparameters,winner_tie_count
P25,arousal,Strict QC-approved,stage_b_individual_v1,0.5840059940059941,0.5916666666666667,0.6405494505494506,0.6516483516483517,0.6402426564495529,multimodal,knn,5,0.119892952193649,0.6,0.45,0.7027972027972028,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""} (2/5 folds)",1
P25,valence,Strict QC-approved,stage_b_individual_v1,0.6238961038961038,0.625,0.6564439946018894,0.6714285714285715,0.6502277722277723,eeg,svm,all,0.0552798536512027,0.6433566433566433,0.5285714285714286,0.6643356643356644,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (4/5 folds)",1
P26,arousal,Strict QC-approved,stage_b_individual_v1,0.5492460317460317,0.6003623188405797,0.659919028340081,0.7457142857142858,0.6961038961038961,eeg,knn,5,0.1273482193516394,0.5208333333333333,0.3888888888888888,0.7166666666666667,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (1/5 folds)",2
P26,valence,Strict QC-approved,stage_b_individual_v1,0.5832767232767233,0.5981884057971014,0.5266666666666666,0.4654545454545454,0.4624708624708624,eeg,gnb,10,0.1653135310382902,0.5923076923076923,0.4142857142857142,0.7867132867132867,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",2
P27,arousal,Strict QC-approved,stage_b_individual_v1,0.5860130718954248,0.7583333333333333,0.7863630089717046,0.9320261437908496,0.8515067056787211,multimodal,knn,5,0.0700015714170358,0.5833333333333334,0.4888888888888889,0.6666666666666666,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P27,valence,Strict QC-approved,stage_b_individual_v1,0.5951785714285714,0.638768115942029,0.7485024779142426,0.7224999999999999,0.7316654869046415,eeg,svm,all,0.1116885417450817,0.525,0.5,0.7321428571428572,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (4/5 folds)",1
P28,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.59593837535014,0.6336956521739131,0.7838832375055286,0.6823529411764706,0.7213437346264671,face,gnb,5,0.1026334507594468,0.5686274509803921,0.4957983193277311,0.7205882352941176,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P28,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5702777777777778,0.6420289855072463,0.6892931629773734,0.8183333333333334,0.7403275870069039,face,svm,all,0.0665044322295352,0.55,0.5,0.6541666666666667,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""} (3/5 folds)",3
P29,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5429761904761905,0.6454545454545455,0.6988101372311899,0.8323809523809524,0.7541509576803694,eeg,svm,20,0.1030848587098905,0.5047619047619047,0.4333333333333333,0.7053571428571428,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P29,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5901709401709402,0.6181818181818182,0.6424859943977591,0.7692307692307693,0.6981937602627257,eeg,gnb,5,0.1383652192153925,0.6452991452991452,0.4188034188034188,0.75,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P30,arousal,Strict QC-approved,stage_b_individual_v1,0.5852777777777778,0.6166666666666666,0.7008164642375169,0.6983333333333334,0.6960364145658263,face,gnb,all,0.0897720879660141,0.6,0.4375,0.6666666666666666,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P30,valence,Strict QC-approved,stage_b_individual_v1,0.5903263403263403,0.5916666666666666,0.6104473304473303,0.5397435897435898,0.5709935796892319,face,gnb,all,0.1086667732587938,0.5833333333333333,0.4583333333333333,0.75,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P31,arousal,Strict QC-approved,stage_c_individual_added18_v1,0.5466200466200466,0.55,0.569047619047619,0.3393939393939393,0.4194903926482873,face,gnb,5,0.1417319923044564,0.5664335664335665,0.3333333333333333,0.7083333333333333,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P31,valence,Strict QC-approved,stage_c_individual_added18_v1,0.5362470862470863,0.5333333333333333,0.5676923076923077,0.5346153846153847,0.5426560846560846,face,knn,5,0.0793233042149323,0.5416666666666667,0.458041958041958,0.6398601398601399,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P32,arousal,Strict QC-approved,stage_b_individual_v1,0.5333333333333333,0.875,0.8742753623188406,1.0,0.9327272727272728,face,svm,5,0.0745355992499929,0.5,0.5,0.6666666666666666,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P32,valence,Strict QC-approved,stage_b_individual_v1,0.5983100233100233,0.6,0.611111111111111,0.5769230769230769,0.5903376623376623,eeg,gnb,20,0.0738081852795244,0.6258741258741258,0.5,0.6666666666666666,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P33,arousal,Strict QC-approved,stage_b_individual_v1,0.5686741363211951,0.7,0.7645257528848861,0.8516339869281045,0.8042833021161193,face,svm,all,0.0495938091889221,0.5833333333333334,0.4957983193277311,0.611111111111111,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (5/5 folds)",3
P33,valence,Strict QC-approved,stage_b_individual_v1,0.6583333333333333,0.6583333333333333,0.758095238095238,0.4333333333333334,0.5422397348093944,face,svm,5,0.1228990100312718,0.6666666666666666,0.5416666666666667,0.8333333333333333,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P34,arousal,Strict QC-approved,stage_b_individual_v1,0.5743697478991596,0.7206521739130435,0.7590510366826156,0.9058823529411764,0.823607016289943,multimodal,svm,all,0.0960614843241923,0.5546218487394958,0.4705882352941176,0.6911764705882353,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (3/5 folds)",1
P34,valence,Strict QC-approved,stage_b_individual_v1,0.5746031746031746,0.5931159420289855,0.5,0.4777777777777777,0.4831746031746031,eeg,svm,5,0.026732015544602,0.5634920634920635,0.5571428571428572,0.6214285714285714,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (4/5 folds)",1
P35,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5725595238095238,0.6391304347826087,0.7242458521870286,0.7558333333333334,0.7372165349100506,eeg,gnb,all,0.1320066127857275,0.5875,0.4047619047619047,0.7544642857142857,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P35,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6348951048951049,0.641106719367589,0.6511904761904762,0.5236363636363637,0.5663398692810457,multimodal,svm,all,0.0524971016915754,0.6346153846153846,0.5807692307692307,0.7166666666666667,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""} (3/5 folds)",1
P36,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6161029411764706,0.6966666666666667,0.8450366300366301,0.7522058823529412,0.7953699396635993,eeg,knn,all,0.1259134552183256,0.65625,0.46875,0.78125,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",1
P36,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6491919191919192,0.6552380952380952,0.667016317016317,0.7272727272727273,0.6953886693017128,multimodal,knn,10,0.1205852899902151,0.6136363636363636,0.5404040404040404,0.8545454545454545,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P37,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6235714285714286,0.8666666666666666,0.8769433465085639,0.9804761904761904,0.925339776502567,face,knn,all,0.0896990432911463,0.625,0.5,0.75,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P37,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6696581196581197,0.6761904761904762,0.7156410256410256,0.7282051282051282,0.7177334324290846,multimodal,gnb,all,0.0464307438527989,0.6666666666666667,0.6025641025641025,0.717948717948718,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P38,arousal,Strict QC-approved,stage_b_individual_v1,0.6238095238095238,0.6057971014492753,0.7436868686868687,0.5342857142857143,0.6193728590250329,multimodal,gnb,all,0.1022763092638462,0.6333333333333333,0.5119047619047619,0.7357142857142858,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P38,valence,Strict QC-approved,stage_b_individual_v1,0.6213919413919414,0.6409420289855072,0.6748472580051528,0.7494505494505495,0.7036743256743258,eeg,svm,20,0.0638124518322419,0.6190476190476191,0.5576923076923077,0.7230769230769231,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P39,arousal,Strict QC-approved,stage_b_individual_v1,0.5330952380952381,0.7076086956521739,0.1222222222222222,0.3,0.1696969696969696,multimodal,gnb,all,0.1410309867689543,0.5416666666666666,0.35,0.7380952380952381,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P39,valence,Strict QC-approved,stage_b_individual_v1,0.5961834733893557,0.7347826086956522,0.7631310159456612,0.9161764705882354,0.831394025604552,eeg,svm,5,0.0281213912989533,0.5803571428571428,0.5714285714285714,0.6372549019607843,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (1/5 folds)",1
P40,arousal,Strict QC-approved,stage_b_individual_v1,0.6541269841269841,0.6833333333333333,0.7294514472455649,0.7838095238095237,0.75363063336367,face,svm,all,0.0810348164149421,0.6444444444444444,0.5888888888888888,0.788888888888889,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (2/5 folds)",3
P40,valence,Strict QC-approved,stage_b_individual_v1,0.6146453546453546,0.625,0.6594227994227995,0.7274725274725274,0.6825560675883257,multimodal,svm,all,0.0907982165212346,0.6571428571428571,0.513986013986014,0.7097902097902098,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P41,arousal,Strict QC-approved,stage_b_individual_v1,0.5865445665445665,0.6246376811594203,0.6422619047619047,0.8219780219780219,0.7177339901477833,multimodal,knn,10,0.120137272319474,0.65,0.3928571428571428,0.6730769230769231,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P41,valence,Strict QC-approved,stage_b_individual_v1,0.5884715284715284,0.6,0.6204248366013072,0.7296703296703297,0.666230691814674,face,knn,5,0.0508430956397342,0.5857142857142856,0.520979020979021,0.6573426573426573,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""} (1/5 folds)",1
P42,arousal,Strict QC-approved,stage_b_individual_v1,0.65,0.6583333333333334,0.7211589880707528,0.7,0.705448396287106,multimodal,knn,10,0.1018953044120507,0.6785714285714286,0.4714285714285714,0.7214285714285715,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P42,valence,Strict QC-approved,stage_b_individual_v1,0.5993506493506493,0.5833333333333333,0.71,0.4714285714285714,0.5506565240961201,face,gnb,5,0.0751131588654337,0.6071428571428572,0.4785714285714285,0.6783216783216783,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P43,arousal,Strict QC-approved,stage_b_individual_v1,0.5780952380952381,0.6083333333333333,0.6619047619047619,0.7228571428571429,0.6854286889581007,multimodal,svm,20,0.0751868420968044,0.5714285714285714,0.4666666666666667,0.6714285714285715,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (3/5 folds)",1
P43,valence,Strict QC-approved,stage_b_individual_v1,0.5804166666666667,0.6333333333333333,0.6948007273084673,0.7691666666666667,0.7274509803921568,multimodal,knn,10,0.1071408729975011,0.6222222222222222,0.40625,0.6888888888888889,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
