participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,shape_sorter_observation,1,shape_sorter_observation_s1_29.000,29.0,31.0,no-ICA,valence__face__gnb__5,1.3460225800709114,1,0.2,2.431204406586968,2.0549162248038066
P15,shape_sorter_observation,1,shape_sorter_observation_s1_30.000,30.0,32.0,no-ICA,valence__face__gnb__5,1.5678876996767712,0,0.0,2.2307416599381504,1.8885304674766994
P15,shape_sorter_observation,1,shape_sorter_observation_s1_31.000,31.0,33.0,no-ICA,valence__face__gnb__5,0.6935376133434157,0,0.0,2.0370953850361717,0.5339534779636306
P15,shape_sorter_observation,1,shape_sorter_observation_s1_32.000,32.0,34.0,no-ICA,valence__face__gnb__5,0.5446291066643658,0,0.0,1.7630810977882936,0.6993976337093629
P15,shape_sorter_observation,1,shape_sorter_observation_s1_33.000,33.0,35.0,no-ICA,valence__face__gnb__5,0.607588744966551,0,0.0,1.484314418115202,0.7093792071567663
P15,shape_sorter_observation,1,shape_sorter_observation_s1_34.000,34.0,36.0,no-ICA,valence__face__gnb__5,0.7231750420529742,0,0.0,1.408862543052937,0.9369798381571585
P15,shape_sorter_observation,1,shape_sorter_observation_s1_35.000,35.0,37.0,no-ICA,valence__face__gnb__5,1.0674141817538723,0,0.0,1.585734361849686,1.4246881885733615
P15,shape_sorter_observation,1,shape_sorter_observation_s1_36.000,36.0,38.0,no-ICA,valence__face__gnb__5,1.1418834798871993,0,0.0,1.6845001781399602,1.0607665924032124
P15,shape_sorter_observation,1,shape_sorter_observation_s1_37.000,37.0,39.0,no-ICA,valence__face__gnb__5,0.5896217556765352,0,0.0,1.152170922449956,1.0409946034164108
P15,shape_sorter_observation,1,shape_sorter_observation_s1_38.000,38.0,40.0,no-ICA,valence__face__gnb__5,1.6856315389174508,0,0.0,2.073763448791273,1.5829161232481082
P15,shape_sorter_observation,1,shape_sorter_observation_s1_39.000,39.0,41.0,no-ICA,valence__face__gnb__5,2.752297786269194,1,0.2,2.5019102887706266,2.1923889911069168
P15,shape_sorter_observation,1,shape_sorter_observation_s1_40.000,40.0,42.0,no-ICA,valence__face__gnb__5,2.2657467511871676,0,0.0,2.3049494055238218,1.779547738932265
P15,shape_sorter_observation,1,shape_sorter_observation_s1_41.000,41.0,43.0,no-ICA,valence__face__gnb__5,2.4172776178681974,0,0.0,2.278596996027062,1.9821046366618347
P15,shape_sorter_observation,1,shape_sorter_observation_s1_42.000,42.0,44.0,no-ICA,valence__face__gnb__5,2.5579182101774345,0,0.0,2.3092586744824946,2.0935240027036905
P15,shape_sorter_observation,1,shape_sorter_observation_s1_43.000,43.0,45.0,no-ICA,valence__face__gnb__5,2.632697965810674,2,0.4,2.5412694280267845,2.0428802827265002
P15,shape_sorter_observation,1,shape_sorter_observation_s1_44.000,44.0,46.0,no-ICA,valence__face__gnb__5,2.90094295260167,2,0.4,2.7788220104979753,1.8363580911491377
P15,shape_sorter_observation,1,shape_sorter_observation_s1_45.000,45.0,47.0,no-ICA,valence__face__gnb__5,0.9458187521807091,0,0.0,1.244544640101064,1.1105171565536853
P15,shape_sorter_observation,1,shape_sorter_observation_s1_46.000,46.0,48.0,no-ICA,valence__face__gnb__5,0.7786380727446367,0,0.0,1.3290499137461942,0.8820235828353182
P15,shape_sorter_observation,1,shape_sorter_observation_s1_47.000,47.0,49.0,no-ICA,valence__face__gnb__5,1.6122608228114947,0,0.0,2.55410762689407,0.7820945093779553
P15,shape_sorter_observation,1,shape_sorter_observation_s1_48.000,48.0,50.0,no-ICA,valence__face__gnb__5,2.713878360428598,0,0.0,2.5924518674292356,1.8142264457166222
P15,shape_sorter_observation,1,shape_sorter_observation_s1_49.000,49.0,51.0,no-ICA,valence__face__gnb__5,1.6428509725401557,0,0.0,1.9708395203062996,0.9937520216703645
P15,shape_sorter_observation,1,shape_sorter_observation_s1_50.000,50.0,52.0,no-ICA,valence__face__gnb__5,1.0437994325429027,0,0.0,2.751145725373408,2.002836003059423
P15,shape_sorter_observation,1,shape_sorter_observation_s1_51.000,51.0,53.0,no-ICA,valence__face__gnb__5,2.2671616574976525,1,0.2,2.846583268147797,1.789998845685269
P15,shape_sorter_observation,1,shape_sorter_observation_s1_52.000,52.0,54.0,no-ICA,valence__face__gnb__5,1.2367731336191528,0,0.0,1.9738306458274182,1.1229744591006257
P15,shape_sorter_observation,1,shape_sorter_observation_s1_53.000,53.0,55.0,no-ICA,valence__face__gnb__5,1.5519191146440992,0,0.0,1.268936836554978,0.7939375548786013
