condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
ICA,arousal__multimodal__knn__all,shape_sorter_interaction,eeg_selected,80,17.19098038874286,2.911923407433477,0.9875,0.04697916666666667,0.7789464071045522,41.45777903990884
ICA,arousal__multimodal__knn__all,shape_sorter_observation,eeg_selected,104,15.812067286266366,2.4651016173425067,0.9903846153846154,0.03621794871794872,0.768077387746055,12.98022701829291
ICA,arousal__multimodal__knn__all,sisyphus,eeg_selected,95,223.346282589634,217.51365448105253,1.0,0.43245614035087715,2.104334104710717,734.5267413259738
ICA,arousal__multimodal__knn__all,stack,eeg_selected,61,15.33129656302575,2.6423566695940846,0.9672131147540983,0.04289617486338798,0.7833418707518953,16.692607918075176
ICA,arousal__multimodal__knn__all,pick_place,face_selected,20,20.122391914086386,9.288198927515563,1.0,0.35,1.9591315047465225,17.822459095285538
ICA,arousal__multimodal__knn__all,shape_sorter_alone,face_selected,12,24.910683256614625,10.571655792322694,1.0,0.3666666666666667,2.0927037656581464,9.11301862001039
ICA,arousal__multimodal__knn__all,shape_sorter_interaction,face_selected,80,17.19098038874286,2.911923407433477,1.0,0.38625,1.9427862473037218,8.868319651684102
ICA,arousal__multimodal__knn__all,shape_sorter_observation,face_selected,104,15.812067286266366,2.4651016173425067,1.0,0.31346153846153846,1.5847748307339309,8.989820307313401
ICA,arousal__multimodal__knn__all,sisyphus,face_selected,95,223.346282589634,217.51365448105253,1.0,0.291578947368421,1.4931432411369536,15.61730545638232
ICA,arousal__multimodal__knn__all,stack,face_selected,61,15.33129656302575,2.6423566695940846,1.0,0.2836065573770492,1.325300109778729,8.404675309375872
ICA,arousal__multimodal__gnb__20,pick_place,all_selected,20,8.232855537498452,4.629065062439526,0.85,0.1075,0.8983837969255322,17.97989894735173
ICA,arousal__multimodal__gnb__20,shape_sorter_alone,all_selected,12,9.091686150759891,7.300343322716529,0.9166666666666666,0.13333333333333333,0.9600768841963775,22.50805876711304
ICA,arousal__multimodal__gnb__20,shape_sorter_interaction,all_selected,80,4.657530169391025,1.572557827304676,0.7125,0.07625,0.881572661380988,15.797197139268317
ICA,arousal__multimodal__gnb__20,shape_sorter_observation,all_selected,104,4.2424533154875075,1.0410512102628737,0.5096153846153846,0.05096153846153846,0.8450949531806079,11.99307345303305
ICA,arousal__multimodal__gnb__20,sisyphus,all_selected,95,96.81479373892897,100.42469243253544,1.0,0.45315789473684215,2.0708821012596035,535.3069480398942
ICA,arousal__multimodal__gnb__20,stack,all_selected,61,4.218533115488039,0.9524040384420389,0.5573770491803278,0.054918032786885236,0.8174683612620235,4.816135768921706
ICA,arousal__multimodal__gnb__20,pick_place,eeg_selected,20,8.232855537498452,4.629065062439526,0.8,0.084375,0.8306923739110392,17.97989894735173
ICA,arousal__multimodal__gnb__20,shape_sorter_alone,eeg_selected,12,9.091686150759891,7.300343322716529,0.9166666666666666,0.125,0.9427157411747487,22.50805876711304
ICA,arousal__multimodal__gnb__20,shape_sorter_interaction,eeg_selected,80,4.657530169391025,1.572557827304676,0.525,0.05703125,0.7833963135252032,15.797197139268317
ICA,arousal__multimodal__gnb__20,shape_sorter_observation,eeg_selected,104,4.2424533154875075,1.0410512102628737,0.33653846153846156,0.03245192307692308,0.7672234018387065,11.99307345303305
ICA,arousal__multimodal__gnb__20,sisyphus,eeg_selected,95,96.81479373892897,100.42469243253544,1.0,0.5414473684210527,2.767625733440811,535.3069480398942
ICA,arousal__multimodal__gnb__20,stack,eeg_selected,61,4.218533115488039,0.9524040384420389,0.32786885245901637,0.03483606557377049,0.7539016223207835,4.816135768921706
ICA,arousal__multimodal__gnb__20,pick_place,face_selected,20,8.232855537498452,4.629065062439526,0.4,0.2,1.1612959121398387,17.822459095285538
ICA,arousal__multimodal__gnb__20,shape_sorter_alone,face_selected,12,9.091686150759891,7.300343322716529,0.5833333333333334,0.16666666666666666,1.3907693911302301,6.189502135580142
ICA,arousal__multimodal__gnb__20,shape_sorter_interaction,face_selected,80,4.657530169391025,1.572557827304676,0.4125,0.153125,1.396685042386891,5.302926739836282
ICA,arousal__multimodal__gnb__20,shape_sorter_observation,face_selected,104,4.2424533154875075,1.0410512102628737,0.3173076923076923,0.125,1.211437967832906,5.096017271521623
ICA,arousal__multimodal__gnb__20,sisyphus,face_selected,95,96.81479373892897,100.42469243253544,0.29473684210526313,0.1,0.9869791748295407,15.61730545638232
ICA,arousal__multimodal__gnb__20,stack,face_selected,61,4.218533115488039,0.9524040384420389,0.39344262295081966,0.13524590163934427,1.184815087104028,3.3572499297413185
