mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy,representation,source_run
individual,P19,P19,arousal,eeg,svm,10,10,4,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.6631030189853719,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,10,10,5,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6260348583877996,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,20,20,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5641456582633053,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,20,20,2,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6437441643323996,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,20,20,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.628135698723934,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,20,20,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6557111733582323,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,20,20,5,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.5754435107376284,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.5730469965764083,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.6220199190787427,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.5900093370681606,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.6042483660130719,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.565873015873016,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.5537970743853097,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.7138188608776844,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.6424369747899159,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.6217864923747277,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.615639589169001,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.5489729225023342,with_ICA,p19_final
