mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P32,P32,valence,eeg,knn,5,5,5,P32,120,96,24,1.3455876265060036,0.9772727272727272,0.054479518668095195,0.05459940208147562
individual,P40,P40,valence,eeg,knn,5,5,1,P40,120,96,24,2.3079095045065645,2.015151515151515,-0.37518290356398,-0.29836896325629425
individual,P40,P40,valence,eeg,knn,5,5,2,P40,120,96,24,2.1234295768977307,1.8560606060606062,-0.370531411500469,-0.20299177914913136
individual,P40,P40,valence,eeg,knn,5,5,3,P40,120,96,24,2.3751373920068466,2.161219823049659,-0.15389769723140367,-0.14445503973411222
individual,P40,P40,valence,eeg,knn,5,5,4,P40,120,96,24,1.9521006500788949,1.6135968534437373,0.0534879508106324,0.07616913676056669
individual,P40,P40,valence,eeg,knn,5,5,5,P40,120,96,24,2.402148372688022,2.132575757575758,-0.3321452823001372,-0.13331787542026197
individual,P42,P42,valence,eeg,knn,5,5,1,P42,120,96,24,1.3769551589074618,1.1515151515151516,-0.31419876480591946,-0.13562271881930577
individual,P42,P42,valence,eeg,knn,5,5,2,P42,120,96,24,1.480578153784625,1.2033141420567641,-0.05573271037745009,-0.026494182340499828
individual,P42,P42,valence,eeg,knn,5,5,3,P42,120,96,24,1.861944342533868,1.613095238095238,-0.30345819790057016,-0.30237917621356636
individual,P42,P42,valence,eeg,knn,5,5,4,P42,120,96,24,1.4166464104855516,1.159090909090909,-0.4236046085575871,-0.27211659813540745
individual,P42,P42,valence,eeg,knn,5,5,5,P42,120,96,24,1.236574315015563,0.9883923995093985,0.1627653640148512,0.21256952057402034
individual,P43,P43,valence,eeg,knn,5,5,1,P43,120,96,24,1.3129467624781777,1.0303030303030303,-0.22281480275210663,-0.1608923991369129
individual,P43,P43,valence,eeg,knn,5,5,2,P43,120,96,24,1.5636495771111891,1.2416666666666667,-0.559601328903655,-0.4989590254706533
individual,P43,P43,valence,eeg,knn,5,5,3,P43,120,96,24,1.4069638352362737,1.1510249440273863,-0.19269791484283672,0.04486879550753309
individual,P43,P43,valence,eeg,knn,5,5,4,P43,120,96,24,1.6087741513253038,1.3409090909090908,-0.07096038757480749,-0.06754060986035904
individual,P43,P43,valence,eeg,knn,5,5,5,P43,120,96,24,1.055452848901098,0.8446969696969697,-0.008888195852175373,0.012955455065232102
