mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,representation,source_run,low_recall
individual,P19,P19,arousal,eeg,knn,5,5,3,P19,120,96,24,65,55,0.44405594405594406,0.4583333333333333,0.375,0.2727272727272727,0.3157894736842105,8,5,8,3,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,knn,5,5,4,P19,120,96,24,65,55,0.7727272727272727,0.7916666666666666,1.0,0.5454545454545454,0.7058823529411765,13,0,5,6,with_ICA,p19_final,1.0
individual,P19,P19,arousal,eeg,knn,5,5,5,P19,120,96,24,65,55,0.5804195804195804,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,8,5,5,6,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,knn,10,10,1,P19,120,96,24,65,55,0.7097902097902098,0.7083333333333334,0.6666666666666666,0.7272727272727273,0.6956521739130435,9,4,3,8,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,knn,10,10,2,P19,120,96,24,65,55,0.6958041958041958,0.7083333333333334,0.75,0.5454545454545454,0.631578947368421,11,2,5,6,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,knn,10,10,3,P19,120,96,24,65,55,0.5734265734265734,0.5833333333333334,0.5555555555555556,0.45454545454545453,0.5,9,4,6,5,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,knn,10,10,4,P19,120,96,24,65,55,0.7797202797202798,0.7916666666666666,0.875,0.6363636363636364,0.7368421052631579,12,1,4,7,with_ICA,p19_final,0.9230769230769231
individual,P19,P19,arousal,eeg,knn,10,10,5,P19,120,96,24,65,55,0.6573426573426573,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.6,10,3,5,6,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,knn,20,20,1,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,knn,20,20,2,P19,120,96,24,65,55,0.5034965034965035,0.5,0.46153846153846156,0.5454545454545454,0.5,6,7,5,6,with_ICA,p19_final,0.46153846153846156
individual,P19,P19,arousal,eeg,knn,20,20,3,P19,120,96,24,65,55,0.5664335664335665,0.5833333333333334,0.5714285714285714,0.36363636363636365,0.4444444444444444,10,3,7,4,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,knn,20,20,4,P19,120,96,24,65,55,0.7097902097902098,0.7083333333333334,0.6666666666666666,0.7272727272727273,0.6956521739130435,9,4,3,8,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,knn,20,20,5,P19,120,96,24,65,55,0.534965034965035,0.5416666666666666,0.5,0.45454545454545453,0.47619047619047616,8,5,6,5,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,svm,all,all,1,P19,120,96,24,65,55,0.7412587412587412,0.75,0.7777777777777778,0.6363636363636364,0.7,11,2,4,7,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,svm,all,all,2,P19,120,96,24,65,55,0.5279720279720279,0.5416666666666666,0.5,0.36363636363636365,0.42105263157894735,9,4,7,4,with_ICA,p19_final,0.6923076923076923
