held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P12,baseline,3461,812,120,66,2.3234050273895264,1.5242719650268555,1.2625083923339844,1.4179823398590088,1.1223465204238892,1.5371050033505118,1.3078931599540553,1.6673423611853408,1.3640132909563714,-0.012833038323656343,-0.24936002132633206,0.5216579686872742,0.5086206896551724,0.75
P15,baseline,3477,804,112,27,3.610377311706543,1.900099277496338,1.640334129333496,1.4122835397720337,1.038205623626709,1.8743592098737918,1.6108199296871983,1.3597782507040164,0.923810550967583,0.025740067622546103,0.052505289068017325,0.4914712153518124,0.46213971665852466,0.19642857142857142
P16,baseline,3464,813,116,18,3.4709577560424805,1.8630506992340088,1.603140115737915,1.68740713596344,1.4742306470870972,1.8294087370252652,1.5714926895227381,1.671438732868453,1.4415465477422953,0.0336419622087436,0.015968403094986927,0.4844448231462547,0.5378861788617886,0.43103448275862066
P17,baseline,3456,818,119,23,3.3893473148345947,1.8410180807113647,1.579472541809082,1.5218771696090698,1.2845618724822998,1.8337874818126414,1.534275106402246,1.4080376719560552,1.1980236539060067,0.0072305988987233505,0.1138394976530146,0.49756481090573124,0.49658764367816094,0.33613445378151263
P18,baseline,3354,921,118,7,2.2996082305908203,1.5164459943771362,1.239768147468567,1.572890043258667,1.3452167510986328,1.424363989206876,1.1968657515585779,1.4284859725444101,1.1895687415986986,0.09208200517026022,0.14440407071425687,0.48905797878040935,0.4897900488927236,0.4915254237288136
P19,baseline,3446,827,120,4,3.369025707244873,1.8354905843734741,1.551816701889038,1.735620141029358,1.4772241115570068,1.8394867975882314,1.579479493950893,1.6764475158513301,1.4240713871154962,-0.003996213214757294,0.05917262517802779,0.5656799493991145,0.4608391608391609,0.4583333333333333
P21,baseline,3478,807,108,77,2.540158271789551,1.593787431716919,1.3466784954071045,2.983572006225586,2.576087713241577,1.5708047553096058,1.3519930196747407,2.2125750880136317,2.0722690775882264,0.022982676407313107,0.7709969182119543,0.5339667059021355,0.4883720930232558,0.3888888888888889
P22,baseline,3481,795,117,19,3.4904487133026123,1.868274211883545,1.6374671459197998,2.4250130653381348,2.173698663711548,1.8449985198547796,1.6242925205834369,2.3608537227327946,2.127333485563879,0.023275692028765338,0.06415934260534017,0.5011048733874821,0.5736111111111111,0.5726495726495726
P23,baseline,3466,809,118,22,3.398770570755005,1.8435754776000977,1.611594319343567,1.8678680658340454,1.649425983428955,1.814482073326403,1.5894288646837333,1.7230708962817252,1.546377888837814,0.029093404273694556,0.14479716955232025,0.5100649953574745,0.5548780487804879,0.3813559322033898
P26,baseline,3470,805,118,6,3.2087881565093994,1.7913089990615845,1.5319957733154297,2.1695244312286377,1.9329086542129517,1.8037540025293228,1.5813252904218948,2.1576951796262698,1.917940702388512,-0.012445003467738358,0.011829251602367918,0.5591208030460366,0.4413390663390664,0.4322033898305085
