participant,target,best_balanced_accuracy,accuracy,precision,recall,f1,modality,classifier,feature_count,BA_SD,BA_median,BA_min,BA_max,most_frequent_hyperparameters,winner_tie_count
P20,valence,0.6055644355644356,0.625,0.6321491228070175,0.7802197802197803,0.6966666666666667,face,knn,all,0.1569254796458169,0.6428571428571428,0.35,0.7797202797202798,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P22,arousal,0.6777777777777778,0.7,0.6277777777777778,0.5755555555555556,0.6002063983488132,face,gnb,all,0.0455606711358182,0.6777777777777778,0.6071428571428572,0.7333333333333334,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P22,valence,0.6385814185814185,0.6583333333333333,0.6951298701298702,0.4672727272727273,0.532016315298049,face,svm,5,0.0681129749453863,0.6428571428571428,0.5279720279720279,0.7071428571428571,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P23,arousal,0.5983193277310924,0.6666666666666667,0.7533974358974359,0.7823529411764706,0.7622018447018447,face,knn,all,0.1058338393531981,0.5840336134453781,0.46875,0.726890756302521,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P23,valence,0.5837462537462537,0.5833333333333334,0.52002997002997,0.5872727272727273,0.548365478914678,face,knn,all,0.1034008176953681,0.6258741258741258,0.4285714285714286,0.6928571428571428,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""} (2/5 folds)",3
P24,arousal,0.5910722610722611,0.5905797101449275,0.6459090909090909,0.5948717948717949,0.6053830227743271,multimodal,knn,10,0.0813406929070684,0.5559440559440559,0.513986013986014,0.696969696969697,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P24,valence,0.6314102564102564,0.6322463768115942,0.6021245421245421,0.6,0.5958592132505176,eeg,svm,10,0.1122600594611594,0.6258741258741258,0.4696969696969696,0.7803030303030303,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (2/5 folds)",1
P25,arousal,0.5840059940059941,0.5916666666666667,0.6405494505494506,0.6516483516483517,0.6402426564495529,multimodal,knn,5,0.119892952193649,0.6,0.45,0.7027972027972028,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""} (2/5 folds)",1
P25,valence,0.6238961038961038,0.625,0.6564439946018894,0.6714285714285715,0.6502277722277723,eeg,svm,all,0.0552798536512027,0.6433566433566433,0.5285714285714286,0.6643356643356644,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (4/5 folds)",1
P26,arousal,0.5492460317460317,0.6003623188405797,0.659919028340081,0.7457142857142858,0.6961038961038961,eeg,knn,5,0.1273482193516394,0.5208333333333333,0.3888888888888888,0.7166666666666667,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (1/5 folds)",2
P26,valence,0.5832767232767233,0.5981884057971014,0.5266666666666666,0.4654545454545454,0.4624708624708624,eeg,gnb,10,0.1653135310382902,0.5923076923076923,0.4142857142857142,0.7867132867132867,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",2
P27,arousal,0.5860130718954248,0.7583333333333333,0.7863630089717046,0.9320261437908496,0.8515067056787211,multimodal,knn,5,0.0700015714170358,0.5833333333333334,0.4888888888888889,0.6666666666666666,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P27,valence,0.5951785714285714,0.638768115942029,0.7485024779142426,0.7224999999999999,0.7316654869046415,eeg,svm,all,0.1116885417450817,0.525,0.5,0.7321428571428572,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (4/5 folds)",1
P30,arousal,0.5852777777777778,0.6166666666666666,0.7008164642375169,0.6983333333333334,0.6960364145658263,face,gnb,all,0.0897720879660141,0.6,0.4375,0.6666666666666666,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P30,valence,0.5903263403263403,0.5916666666666666,0.6104473304473303,0.5397435897435898,0.5709935796892319,face,gnb,all,0.1086667732587938,0.5833333333333333,0.4583333333333333,0.75,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P32,arousal,0.5333333333333333,0.875,0.8742753623188406,1.0,0.9327272727272728,face,svm,5,0.0745355992499929,0.5,0.5,0.6666666666666666,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P32,valence,0.5983100233100233,0.6,0.611111111111111,0.5769230769230769,0.5903376623376623,eeg,gnb,20,0.0738081852795244,0.6258741258741258,0.5,0.6666666666666666,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P33,arousal,0.5686741363211951,0.7,0.7645257528848861,0.8516339869281045,0.8042833021161193,face,svm,all,0.0495938091889221,0.5833333333333334,0.4957983193277311,0.611111111111111,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (5/5 folds)",3
P33,valence,0.6583333333333333,0.6583333333333333,0.758095238095238,0.4333333333333334,0.5422397348093944,face,svm,5,0.1228990100312718,0.6666666666666666,0.5416666666666667,0.8333333333333333,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
